NUM_CORR_ACI;SIGLA_ACO;TEMP_INTER_SUBLANCA_LD;P;PS_TA;fam_TA
502108;WBCAAS010000200099;1553;6.81;0;min
496937;24JDAA000100010099;1561;8.95;0;min
501072;EWZBAA006000120099;1594;13.26;0;min
502306;7DBBAS015000120099;1554;10.325;2000;media
502801;24JDAA000100010099;1597;14.265;2100;media
498582;WOMAAS008000150099;1681;9.47;2100;media
502464;MBA2AA000150010099;1580;12.63;0;min
502656;EWZBAA006000120099;1591;18.39;0;min
496484;DGC2AA003000021099;1591;20.4;1900;media
500977;KHCEAA0160000360X9;1656;17.42;0;min
498366;9LMAAS007000180099;1552;7.75;0;min
501795;ABC1AS0130001060X9;1578;13.025;8000;max
502532;GXCBAS015000155099;1642;19.27;0;min
497236;ZMREAS008000160099;1602;12.875;0;min
498261;WOMAAS008000150099;1612;13.815;2000;media
501017;84D1AS000150050099;1578;11.815;0;min
502352;24JDAA000100010099;1620;15.38;2000;media
500434;GJBAAS013000100099;1631;18.225;0;min
500435;GJBAAS013000100099;1591;20.22;0;min
498728;WOMAAS008000150099;1581;8.22;2000;media
501703;MBA2AA000150010099;1573;7.26;7900;max
501295;MBA2AA000150010099;1629;4.075;0;min
500599;AAC3AA0040000210X9;1561;13.695;8000;max
500818;MBA2AA000150010099;1580;12.35;8000;max
501223;LQC1AA006000066099;1573;12.275;7900;max
502622;7PMBAS010000135099;1631;11.775;2000;media
497131;QECDAA0090000360X9;1621;16.495;1900;media
500520;ZMREAS008000160099;1627;12.94;0;min
497376;WOMAAS008000150099;1594;6.025;7900;max
502058;RJZHAS014000130099;1586;17.245;0;min
500981;DDC1AA0160000560X9;1571;16.43;7900;max
502533;24JDAA000100010099;1604;14.975;0;min
497625;LQC1AA006000066099;1625;8.305;0;min
501087;7KMEAS007000180099;1635;16.43;0;min
500729;62D2AC0030000260X9;1626;17.06;2000;media
502760;QECDAA0090000360X9;1592;10.425;1900;media
497935;WRCBAA010000150099;1636;12.97;2100;media
501328;DGC2AA006000040099;1608;20.03;0;min
498675;WOMAAS008000150099;1577;10.855;0;min
501259;ZMREAS008000160099;1611;21.53;0;min
500610;MBA2AA000150010099;1617;16.28;2000;media
497654;WOMAAS008000150099;1631;8.27;2100;media
497700;VCBCAA007000177099;1571;4.665;1900;media
500756;MBA2AA000150010099;1626;11.545;2000;media
497865;30Z2AA000200026099;1578;12.625;0;min
496958;DDC1AA0160000560X9;1596;7.56;0;min
500451;24JDAA000100010099;1590;13.92;2000;media
497835;VJQ1AA000150015099;1703;24.12;0;min
497708;9GJKAS003000120099;1600;3.105;0;min
500570;MBA2AA000150010099;1579;10.875;8100;max
498638;WOMAAS008000150099;1609;10.265;0;min
500727;62D2AC0030000260X9;1582;13.26;8100;max
497801;JYCHAS0220001010X9;1575;12.525;7900;max
497280;9GJKAS003000120099;1647;7.23;0;min
