"NUM_CORR_ACI";"COD_LOCAL_EVENTO_ACI";"NUM_TRAT_ACO_PAN";"MES";"AL_CAS";"GRAU";"TRAT";"S_MAX";"family"
"1499";487616;"OB1";1;201310;189;"AA";"C1";10;"AA-C1-10"
"1504";487817;"OB2";2;201311;158;"AA";"C1";10;"AA-C1-10"
"1533";488490;"OB2";1;201312;259;"AA";"C1";10;"AA-C1-10"
"1534";488502;"OB1";1;201312;131;"AA";"C1";10;"AA-C1-10"
"1535";488556;"OB1";1;201312;488;"AA";"C1";10;"AA-C1-10"
"1536";488559;"OB2";1;201312;303;"AA";"C1";10;"AA-C1-10"
"1552";488927;"OB2";1;201401;587;"AA";"C1";10;"AA-C1-10"
"1557";489008;"OB1";1;201401;241;"AA";"C1";10;"AA-C1-10"
"1564";489066;"OB2";1;201401;275;"AA";"C1";10;"AA-C1-10"
"1570";489159;"OB2";1;201401;61;"AA";"C1";10;"AA-C1-10"
"1585";489676;"OB2";NA;201401;0;"AA";"C1";10;"AA-C1-10"
"1586";489677;"OB1";1;201401;425;"AA";"C1";10;"AA-C1-10"
"1587";489679;"OB1";1;201401;239;"AA";"C1";10;"AA-C1-10"
"1590";489864;"OB1";1;201402;608;"AA";"C1";10;"AA-C1-10"
"1591";489865;"OB2";1;201402;67;"AA";"C1";10;"AA-C1-10"
"1592";489894;"OB2";1;201402;259;"AA";"C1";10;"AA-C1-10"
"1598";490045;"OB1";1;201402;406;"AA";"C1";10;"AA-C1-10"
"1605";490119;"OB1";1;201402;209;"AA";"C1";10;"AA-C1-10"
"1608";490157;"OB1";NA;201402;0;"AA";"C1";10;"AA-C1-10"
"1609";490158;"OB1";1;201402;708;"AA";"C1";10;"AA-C1-10"
"1615";490286;"OB2";1;201402;84;"AA";"C1";10;"AA-C1-10"
"1617";490313;"OB2";1;201402;272;"AA";"C1";10;"AA-C1-10"
"1620";490353;"OB1";1;201402;302;"AA";"C1";10;"AA-C1-10"
"1625";490492;"OB2";1;201403;514;"AA";"C1";10;"AA-C1-10"
"1639";490935;"OB1";1;201403;212;"AA";"C1";10;"AA-C1-10"
"1647";491107;"OB2";1;201404;205;"AA";"C1";10;"AA-C1-10"
"1651";491147;"OB2";1;201404;116;"AA";"C1";10;"AA-C1-10"
"1654";491263;"OB1";1;201404;393;"AA";"C1";10;"AA-C1-10"
